0	1	1043
0	499	6070
1	2	3392
2	3	3893
3	4	6155
4	132	9900
4	5	9961
5	6	4349
6	7	5227
7	8	2401
8	9	5750
9	10	7405
10	11	9641
10	287	796
11	12	1009
12	13	4491
13	14	7870
14	15	4584
15	16	4812
16	17	8821
17	18	3529
18	19	2007
19	20	9699
20	449	237
20	21	6088
21	22	505
22	212	7014
23	24	7324
24	25	743
24	231	2129
25	26	2981
26	27	5805
27	28	8380
28	29	309
29	30	1025
30	31	9945
31	32	7073
32	33	5560
33	34	3919
34	35	5291
35	36	8987
35	478	5495
36	37	5173
37	38	7698
38	39	9493
39	40	9018
40	41	6330
40	139	873
40	183	8996
41	42	2962
42	43	4066
43	44	2710
44	45	8920
45	46	5050
46	47	911
47	48	9661
48	49	8549
49	50	6287
50	357	7979
51	52	9313
52	263	2300
52	575	6059
53	54	8227
54	55	941
55	56	6313
56	57	6583
57	402	8802
58	59	6481
59	285	1368
60	292	5427
60	61	2995
61	62	8274
62	63	5825
63	64	1752
64	65	5137
65	66	9154
66	67	6445
67	467	6602
67	68	2005
68	69	5234
69	70	3274
70	71	9667
71	72	4553
72	73	2576
73	74	8625
74	75	4414
75	76	3262
76	77	8189
77	78	4715
78	79	8198
79	80	2924
80	81	8787
81	82	9236
81	242	5745
82	83	9848
83	84	9435
84	85	2295
85	86	5352
86	87	6565
87	88	6170
88	89	289
89	90	6754
90	91	6456
91	92	5812
92	93	3756
93	94	1259
94	95	6316
95	96	8555
96	97	8711
97	98	9197
97	279	5470
98	99	2916
99	100	3374
100	101	6403
101	146	5990
101	102	1382
102	402	1474
103	104	2075
104	105	3709
105	106	1493
106	107	5723
107	256	6260
108	109	9015
109	110	3980
110	111	5560
111	112	835
112	113	305
113	114	9119
114	115	3272
115	480	1592
116	117	9303
117	118	1466
118	119	3432
119	120	6484
120	121	3075
121	122	6022
122	123	4466
123	124	69
124	125	4453
125	126	7885
126	127	9940
127	128	9174
128	156	2346
129	130	4513
130	131	7644
131	132	2871
131	473	5009
133	134	6231
134	135	8348
135	136	3968
136	137	5565
137	138	7355
138	139	4216
140	141	2420
141	142	5163
142	143	300
143	144	2911
144	145	1941
145	146	620
146	147	8923
147	148	5276
148	149	740
149	150	7759
150	151	4444
151	152	4534
152	153	6081
152	402	8704
153	154	6126
154	155	6291
155	156	3033
156	157	6539
157	158	730
158	159	3438
159	322	6829
160	161	498
161	101	5705
162	163	6283
163	164	5636
164	369	437
164	165	4272
165	166	747
166	167	333
167	168	5796
168	169	63
169	170	2118
170	171	9775
171	172	1588
172	173	7219
173	174	1038
174	175	9563
175	176	1038
176	177	7732
177	178	3023
178	179	3550
179	180	2326
180	181	9835
181	182	4054
182	183	6297
184	287	8610
185	186	6215
186	187	2772
187	188	1525
188	189	369
189	190	5678
190	191	6230
191	192	7202
192	193	9206
192	436	2646
193	194	3508
194	195	9635
195	196	3950
196	197	817
197	198	495
198	199	3641
199	200	4025
200	201	9682
201	299	9507
202	203	368
203	204	1282
204	44	4609
205	206	1041
206	422	3850
206	207	4448
207	208	7363
208	209	1078
209	210	8149
210	211	5733
211	212	7094
212	213	9565
213	214	1332
214	215	9961
215	216	7172
216	217	3937
217	218	9198
218	219	2847
219	220	6700
220	221	5304
221	222	1304
222	93	896
223	261	3012
224	225	2920
225	226	1174
226	227	9295
227	228	3275
228	229	5634
229	230	4123
230	231	8425
232	233	2836
233	234	3612
234	235	2604
235	236	8798
236	313	4062
236	237	2721
237	238	36
238	239	5360
239	240	7159
240	241	888
241	242	4626
242	243	2009
243	395	7329
244	245	2466
245	246	4917
246	247	4695
247	248	8504
248	249	2536
249	250	9030
250	251	2545
251	252	660
252	352	8477
252	253	7454
253	254	6436
254	255	6628
255	256	3757
255	57	7145
256	257	7050
257	258	6092
258	259	3408
259	260	5620
260	403	2199
261	262	2949
262	263	7633
263	264	9520
263	51	924
264	481	230
265	266	3723
266	267	9823
267	268	8807
268	269	3022
269	378	2282
270	271	5612
271	272	67
271	498	5167
272	273	8401
273	274	5243
274	275	6433
275	276	8117
276	277	9408
277	278	8221
278	279	5227
279	280	9365
280	281	5613
281	282	9626
282	283	4547
283	284	8797
284	3	8184
285	286	5996
286	287	3124
288	289	15
289	290	4965
290	291	3681
291	292	2863
292	293	1224
293	294	4938
294	295	5753
295	296	3836
296	297	1150
297	422	7719
298	299	1648
299	300	9813
300	301	244
301	302	4587
302	303	5121
303	304	6514
304	305	4852
305	306	5064
306	307	6892
307	308	7776
308	309	7288
309	353	9293
310	311	2139
311	312	9548
312	313	1396
313	314	3306
314	118	7758
315	316	1508
315	385	537
316	317	339
317	318	3807
318	447	959
319	322	2862
320	321	9124
321	322	2513
322	323	1551
323	324	9651
324	325	4386
325	326	9397
326	327	4997
327	328	5337
328	329	9245
329	330	4823
330	331	3657
331	332	5116
332	333	7623
333	334	4207
334	335	5452
335	336	712
336	337	93
337	338	761
338	339	1199
339	379	2891
340	341	8487
341	342	6369
342	450	7842
342	343	7081
343	344	7129
344	345	5577
345	346	5791
346	254	7477
347	348	6815
348	349	814
349	350	8940
350	351	745
351	352	9865
352	353	4663
352	297	2157
353	31	163
354	263	2669
355	356	8940
356	357	5767
357	358	7252
358	359	874
359	360	3926
360	361	8313
361	362	7196
362	363	7551
363	364	2571
364	365	4652
365	465	3568
365	366	7183
366	367	8599
367	368	3733
368	369	4615
369	370	3461
370	371	8578
371	372	2255
372	373	1782
373	374	9791
374	375	8607
375	376	8626
376	381	3139
377	378	8874
378	379	1522
379	380	4186
380	381	7441
381	382	9449
382	383	6054
383	384	7207
384	385	356
385	386	3361
386	387	6593
387	388	3237
388	389	7409
389	390	203
390	428	9192
391	392	191
392	393	4567
393	394	2111
394	23	7068
394	395	6470
395	396	6679
396	397	2632
397	398	4331
398	399	7667
399	400	5833
399	45	6203
400	401	2231
401	402	5001
401	344	5245
402	403	3536
403	460	5872
404	405	7518
405	40	8217
406	379	8427
406	407	4730
407	408	4287
408	409	5876
409	410	7085
410	411	567
411	412	6893
412	413	6359
413	414	1925
414	415	9915
415	416	1309
416	417	2476
417	418	3724
418	419	412
419	420	1656
420	421	927
421	422	3328
423	424	5059
424	425	9500
425	426	1355
426	427	9898
427	428	5378
428	429	3357
429	430	8180
430	431	967
431	432	3448
432	433	9856
433	434	1336
434	237	2703
434	277	4916
435	436	154
437	306	2869
438	464	7165
439	440	7844
440	441	7203
441	442	450
442	443	2633
443	444	378
444	445	4355
445	446	4377
446	447	7697
447	448	4655
448	449	7704
449	450	4213
451	496	4779
451	452	7819
452	453	5656
453	454	9378
454	491	5883
454	455	3806
455	456	6870
456	457	1419
457	458	9613
458	459	9638
459	460	4385
460	461	3614
461	306	3013
461	462	8026
462	463	7821
463	464	1193
464	465	4436
465	466	187
466	467	9207
468	469	5589
469	470	4542
470	471	4203
471	472	2936
472	473	7186
473	474	6263
474	475	9986
475	476	5977
476	477	3043
477	450	109
477	478	3151
478	479	8422
479	480	8000
480	481	1678
481	482	3403
482	483	3658
483	484	70
484	485	4761
485	486	7640
486	205	7524
486	487	3641
487	488	5423
488	489	5263
489	490	9234
490	491	3704
491	492	1531
492	493	3176
493	494	5189
494	495	7733
495	496	8945
496	497	2610
497	498	2682
498	499	7408
499	500	8609
